Char,Neg[0...1000],Neut[0...1000],Pos[0...1000],Somma
👸,61,272,667,1
🇪,27,330,643,1
░,234,577,189,1
🍩,145,327,527,"0,999"
👾,19,602,380,"1,001"
☁,140,411,449,1
🌻,19,393,589,"1,001"
😵,321,274,406,"1,001"
📒,10,943,48,"1,001"
↿,10,333,657,1
🐯,49,427,524,1
👼,176,314,510,1
🍔,168,386,446,1
😸,120,350,530,1
👶,141,283,576,1
↾,10,333,657,1
💐,41,184,776,"1,001"
🌊,92,316,592,1
🍦,143,255,602,1
🍓,41,247,711,"0,999"
👇,144,464,392,1
💆,263,253,484,1
🍴,53,358,589,1
😧,389,284,326,"0,999"
🇸,96,298,606,1
😮,183,366,452,"1,001"
▓,32,925,43,1
🚫,538,363,99,1
😽,132,165,703,1
🌈,66,352,582,1
🙀,165,341,495,"1,001"
⚠,187,692,121,1
🎮,101,371,528,1
╯,230,552,218,1
🍆,80,437,483,1
🍰,161,230,609,1
✓,115,483,402,1
👐,395,233,372,1
🙇,291,279,430,1
🍟,174,349,477,1
🍌,129,306,565,1
💑,71,200,729,1
👬,353,353,294,1
🐣,155,214,631,1
🎃,83,238,679,1
▬,12,512,476,1
,536,405,60,"1,001"
😟,349,229,422,1
🐾,111,173,716,1
🎓,100,238,663,"1,001"
🏊,38,350,613,"1,001"
🍫,291,266,443,1
📷,101,367,532,1
👄,77,372,551,1
🌼,26,169,805,1
🚶,377,390,234,"1,001"
🐱,145,197,658,1
║,13,829,158,1
🐸,333,413,253,"0,999"
🇺,122,216,662,1
👿,658,219,123,1
🚬,123,233,644,1
✿,41,534,425,1
📖,268,296,437,"1,001"
🐒,28,423,549,1
🌍,85,239,676,1
┊,14,14,972,1
🐥,71,271,657,"0,999"
🌀,159,580,261,1
🐼,72,594,333,"0,999"
🎥,130,449,420,"0,999"
💄,101,362,536,"0,999"
💸,246,348,406,1
⛔,88,338,574,1
●,132,559,309,1
🏀,209,328,463,1
💉,179,284,537,1
💟,61,197,742,1
🚗,138,492,369,"0,999"
😯,262,354,385,"1,001"
📝,138,492,369,"0,999"
═,15,954,31,1
♦,109,328,563,1
💭,175,444,381,1
🌙,66,279,656,"1,001"
🐟,49,213,738,1
👣,115,426,459,1
☞,16,852,131,"0,999"
✂,574,311,115,1
🗿,98,361,541,1
🍝,283,317,400,1
👪,417,183,400,1
🍭,167,367,467,"1,001"
🌃,68,475,458,"1,001"
❌,254,220,525,"0,999"
🐰,86,241,672,"0,999"
💊,155,259,586,1
🚨,121,121,759,"1,001"
😦,544,281,175,1
🍪,193,298,509,1
🍣,446,339,214,"0,999"
╭,71,696,232,"0,999"
✧,36,607,357,1
🎆,55,182,764,"1,001"
╮,109,655,236,1
🎎,19,56,926,"1,001"
🇩,37,315,648,1
✅,74,444,481,"0,999"
👹,269,404,327,1
📱,96,500,404,1
🙍,577,173,250,1
🍑,250,250,500,1
🎼,58,558,385,"1,001"
🔊,96,404,500,1
🌌,120,240,640,1
🍎,140,400,460,1
🐻,140,280,580,1
─,20,820,160,1
╰,160,740,100,1
💇,163,347,490,1
♬,102,551,347,1
♚,20,918,61,"0,999"
🔴,42,521,438,"1,001"
🍱,542,229,229,1
🍊,146,292,563,"1,001"
🍒,146,396,458,1
🐭,21,271,708,1
👟,125,333,542,1
🌎,128,426,447,"1,001"
🍍,170,191,638,"0,999"
🐮,65,283,652,1
📲,174,413,413,1
☼,65,674,261,1
🌅,156,333,511,1
🇷,44,244,711,"0,999"
👠,156,333,511,1
🌽,133,289,578,1
💧,477,205,318,1
❓,182,568,250,1
🍬,205,227,568,1
😺,209,186,605,1
🐴,209,512,279,1
🚀,70,372,558,1
¦,186,47,767,1
💢,163,442,395,1
🎬,70,581,349,1
🍧,233,233,535,"1,001"
🍜,233,140,628,"1,001"
🐏,70,302,628,1
🐘,233,512,256,"1,001"
👧,256,349,395,1
⠀,163,628,209,1
🏄,71,333,595,"0,999"
➤,24,643,333,1
⬆,48,619,333,1
🍋,171,415,415,"1,001"
🆗,171,122,707,1
⚪,25,500,475,1
📺,100,425,475,1
🍅,250,150,600,1
⛅,125,300,575,1
🐢,175,450,375,1
👙,100,300,600,1
🏡,154,256,590,1
🌾,154,154,692,1
◉,26,692,282,1
✏,105,447,447,"0,999"
🐬,79,421,500,1
🍤,184,579,237,1
🇹,26,368,605,"0,999"
♣,132,395,474,"1,001"
🐝,158,474,368,1
🌝,162,486,351,"0,999"
🇮,27,351,622,1
🔋,622,243,135,1
🐍,108,432,459,"0,999"
♔,27,405,568,1
🍳,389,194,417,1
🔵,139,417,444,1
😾,583,167,250,1
🌕,111,222,667,1
🐨,139,278,583,1
🔐,194,278,528,1
💿,28,333,639,1
❁,28,889,83,1
🌳,86,343,571,1
👰,114,286,600,1
❀,29,543,429,"1,001"
⚓,86,257,657,1
🚴,29,286,686,"1,001"
▀,314,514,171,"0,999"
👗,176,412,412,1
➕,147,176,676,"0,999"
💬,152,333,515,1
▒,91,848,61,1
🔜,182,364,455,"1,001"
🍨,273,242,485,1
💲,30,697,273,1
⛽,61,727,212,1
🍙,188,344,469,"1,001"
🍗,313,313,375,"1,001"
🍲,250,375,375,1
🍥,719,156,125,1
▸,31,719,250,1
♛,156,500,344,1
😼,194,258,548,1
🐙,97,419,484,1
👨,97,290,613,1
🍚,226,97,677,1
🍖,258,355,387,1
♨,32,65,903,1
🎹,32,581,387,1
♕,32,548,419,"0,999"
▃,32,32,935,"0,999"
🚘,300,333,367,1
🍏,267,400,333,1
👩,333,267,400,1
👦,200,467,333,1
🇬,100,533,367,1
🇧,100,533,367,1
☠,267,500,233,1
🐠,172,241,586,"0,999"
🚹,69,172,759,1
💵,138,345,517,1
✰,34,138,828,1
╠,34,724,241,"0,999"
👛,179,286,536,"1,001"
🚙,214,536,250,1
🌱,36,357,607,1
💻,71,607,321,"0,999"
🌏,143,393,464,1
▄,321,429,250,1
👓,37,630,333,1
◄,37,704,259,1
⚾,370,296,333,"0,999"
🌲,115,385,500,1
👴,231,308,462,"1,001"
🏠,77,346,577,1
🍇,231,269,500,1
🍘,231,154,615,1
🍛,346,269,385,1
🐇,192,385,423,1
🔞,269,500,231,1
👵,231,115,654,1
◀,38,654,308,1
🔙,115,577,308,1
🌵,269,269,462,1
🐽,240,400,360,1
🍮,440,240,320,1
🎇,80,160,760,1
🐎,120,360,520,1
➔,160,800,40,1
💶,160,680,160,1
🐤,80,320,600,1
╩,40,720,240,1
🛀,292,292,417,"1,001"
🌑,125,292,583,1
🚲,83,458,458,"0,999"
🐑,292,583,125,1
🏁,42,417,542,"1,001"
🍞,292,375,333,1
🎾,125,208,667,1
╚,42,625,333,1
🈹,83,542,375,1
🐳,217,435,348,1
👮,478,391,130,"0,999"
☹,652,217,130,"0,999"
🐵,87,348,565,1
✪,43,609,348,1
◕,43,478,478,"0,999"
🗼,87,304,609,1
▐,217,696,87,1
♠,43,609,348,1
┳,478,391,130,"0,999"
👺,409,364,227,1
🐚,91,591,318,1
👂,364,409,227,1
🗽,91,500,409,1
🍵,182,273,545,1
🆒,45,545,409,"0,999"
🍯,364,227,409,1
🐺,136,500,364,1
⇨,45,455,500,1
➨,136,591,273,1
🌓,45,318,636,"0,999"
🔒,273,273,455,"1,001"
╬,318,500,182,1
👳,143,95,762,1
🌂,143,476,381,1
🚌,143,524,333,1
♩,48,381,571,1
🍡,286,476,238,1
❥,48,667,286,"1,001"
🎡,95,524,381,1
💌,150,200,650,1
🐩,50,550,400,1
🌜,50,400,550,1
⌚,150,500,350,1
🚿,100,200,700,1
🐖,50,750,200,1
🔆,50,350,600,1
🌛,50,350,600,1
💂,450,250,300,1
🐔,100,500,400,1
🙎,450,150,400,1
🏩,158,263,579,1
🇫,53,421,526,1
🔨,368,368,263,"0,999"
📢,53,474,474,"1,001"
🐦,53,474,474,"1,001"
🐲,158,737,105,1
♻,53,421,526,1
🌘,53,316,632,"1,001"
🍐,316,211,474,"1,001"
🌔,53,316,632,"1,001"
╥,368,158,474,1
❊,53,895,53,"1,001"
👖,111,444,444,"0,999"
🚺,167,500,333,1
😗,111,167,722,1
🎭,333,333,333,"0,999"
🐄,167,389,444,1
◟,167,722,111,1
🍢,333,444,222,"0,999"
🎨,111,611,278,1
⬇,167,278,556,"1,001"
🚼,56,333,611,1
⛲,111,722,167,1
▁,56,889,56,"1,001"
🇴,56,556,389,"1,001"
🌗,56,278,667,"1,001"
🌖,56,278,667,"1,001"
🔅,56,56,889,"1,001"
👜,176,412,412,1
🐌,59,235,706,1
💼,118,235,647,1
🚕,235,529,235,"0,999"
🐹,235,235,529,"0,999"
🌠,176,118,706,1
🐈,59,588,353,1
⇧,59,765,176,1
☎,176,647,176,"0,999"
🌁,118,588,294,1
⚫,235,294,471,1
♧,59,412,529,1
🏰,118,471,412,"1,001"
🚵,59,529,412,1
🎢,118,294,588,1
🎷,59,235,706,1
🎐,59,706,235,1
┈,765,59,176,1
╗,59,529,412,1
╱,59,882,59,1
🌇,63,375,563,"1,001"
⏰,188,188,625,"1,001"
⇩,63,875,63,"1,001"
🚂,63,625,313,"1,001"
◠,63,438,500,"1,001"
🎿,125,375,500,1
✦,63,813,125,"1,001"
🆔,63,125,813,"1,001"
⛪,188,500,313,"1,001"
🌒,63,313,625,"1,001"
🐪,63,313,625,"1,001"
╔,63,625,313,"1,001"
╝,63,438,500,"1,001"
👔,200,267,533,1
🔱,267,400,333,1
🆓,67,667,267,"1,001"
🐋,200,400,400,1
▽,133,333,533,"0,999"
▂,67,867,67,"1,001"
🐛,200,333,467,1
👕,133,333,533,"0,999"
🚋,67,800,133,1
💳,133,333,533,"0,999"
🌆,200,467,333,1
🏧,67,67,867,"1,001"
💡,67,267,667,"1,001"
🔹,200,467,333,1
⬅,67,400,533,1
🍠,400,200,400,1
🐫,67,533,400,1
🏪,200,533,267,1
۩,67,867,67,"1,001"
🇱,67,467,467,"1,001"
📹,143,286,571,1
👞,143,286,571,1
🚑,286,357,357,1
🆘,357,214,429,1
👚,71,286,643,1
🚍,357,214,429,1
□,571,71,357,"0,999"
🐂,143,571,286,1
🚣,71,286,643,1
✳,71,857,71,"0,999"
🏉,71,357,571,"0,999"
🗻,71,286,643,1
🐀,143,571,286,1
╦,71,500,429,1
⛺,154,231,615,1
🐕,154,462,385,"1,001"
🏂,154,308,538,1
👡,154,308,538,1
📻,154,385,462,"1,001"
✒,154,462,385,"1,001"
🌰,77,308,615,1
🏢,77,692,231,1
🎒,154,231,615,1
⌒,77,308,615,1
🏫,538,154,308,1
📴,154,77,769,1
🚢,308,154,538,1
🚚,231,615,154,1
🐉,77,692,231,1
❒,77,615,308,1
🐊,231,462,308,"1,001"
🔔,77,77,846,1
◢,77,231,692,1
🏥,167,417,417,"1,001"
❔,333,333,333,"0,999"
🚖,333,417,250,1
🃏,333,250,417,1
▼,250,417,333,1
▌,417,417,167,"1,001"
☛,83,500,417,1
✩,83,833,83,"0,999"
💒,83,333,583,"0,999"
🚤,83,500,417,1
🐐,83,417,500,1
■,500,250,250,1
🔚,167,333,500,1
🎻,83,500,417,1
🔷,83,667,250,1
🚦,250,417,333,1
🔓,333,250,417,1
🎽,83,417,500,1
📅,250,333,417,1
🎺,167,83,750,1
✯,83,833,83,"0,999"
🍈,583,167,250,1
✉,167,417,417,"1,001"
╣,83,833,83,"0,999"
◤,83,83,833,"0,999"
○,91,364,545,1
🍼,182,182,636,1
📀,182,545,273,1
🚛,273,636,91,1
📓,182,455,364,"1,001"
☉,91,636,273,1
💴,364,455,182,"1,001"
┼,273,455,273,"1,001"
🐃,91,818,91,1
➰,455,182,364,"1,001"
🔌,364,364,273,"1,001"
🍄,273,455,273,"1,001"
📕,182,455,364,"1,001"
📣,182,273,545,1
🚓,91,545,364,1
🐗,91,364,545,1
↪,91,727,182,1
⛳,91,182,727,1
┻,636,91,273,1
┛,91,273,636,1
┃,91,455,455,"1,001"
👱,200,500,300,1
⏳,400,200,400,1
💺,200,400,400,1
🏇,400,300,300,1
☻,200,400,400,1
📞,100,400,500,1
Ⓐ,300,500,200,1
🌉,100,300,600,1
🚩,400,400,200,1
✎,100,300,600,1
📃,100,400,500,1
🏨,100,600,300,1
📌,600,200,200,1
♎,300,500,200,1
💷,100,400,500,1
🚄,100,300,600,1
▲,100,300,600,1
⛵,100,300,600,1
🔸,100,600,300,1
⌛,300,300,400,1
🚜,100,100,800,1
🐆,100,500,400,1
👒,200,400,400,1
❕,200,400,400,1
🔛,200,200,600,1
♢,100,500,400,1
🇲,100,400,500,1
❅,100,200,700,1
👝,222,222,556,1
✞,111,444,444,"0,999"
◡,111,556,333,1
🎋,222,111,667,1
👥,222,333,444,"0,999"
📵,222,444,333,"0,999"
🐡,111,556,333,1
◆,111,222,667,1
🏯,111,667,222,1
☂,222,556,222,1
🔭,111,444,444,"0,999"
🎪,111,556,333,1
🐜,111,333,556,1
♌,111,222,667,1
☐,778,111,111,1
👷,222,333,444,"0,999"
↳,111,778,111,1
🔈,111,556,333,1
📄,111,111,778,1
📍,222,444,333,"0,999"
🚐,111,222,667,1
🚔,222,556,222,1
🌋,111,333,556,1
📡,222,333,444,"0,999"
⏩,111,667,222,1
🚳,111,111,778,1
✘,111,222,667,1
۞,111,778,111,1
☾,111,778,111,1
🅰,222,333,444,"0,999"
📥,111,778,111,1
🇼,111,444,444,"0,999"
┓,111,333,556,1
┣,111,333,556,1
Ⓛ,111,444,444,"0,999"
Ⓔ,111,444,444,"0,999"
🔦,125,750,125,1
👤,125,250,625,1
🚁,125,625,250,1
🎠,125,375,500,1
🐁,375,500,125,1
📗,250,375,375,1
┐,375,375,250,1
☮,375,250,375,1
♂,125,625,250,1
◞,250,500,250,1
📯,250,625,125,1
🔩,250,375,375,1
👢,125,250,625,1
◂,125,500,375,1
📰,250,250,500,1
📶,125,500,375,1
🚥,250,500,250,1
🌄,125,625,250,1
🗾,125,500,375,1
🔶,125,500,375,1
🏤,125,500,375,1
🎩,125,500,375,1
Ⓜ,250,250,500,1
🔧,625,125,250,1
🐅,125,625,250,1
♮,125,625,250,1
🅾,375,375,250,1
🔄,125,750,125,1
☄,125,750,125,1
☨,125,750,125,1
